Date,Price
2014-12-01,2053.4
2014-12-02,2066.6
2014-12-03,2074.3
2014-12-04,2071.9
2014-12-05,2075.4
2014-12-08,2060.3
2014-12-09,2059.8
2014-12-10,2026.1
2014-12-11,2035.3
2014-12-12,2002.3
2014-12-15,1989.6
2014-12-16,1972.7
2014-12-17,2012.9
2014-12-18,2061.2
2014-12-19,2070.7
2014-12-22,2078.5
2014-12-23,2082.2
2014-12-24,2081.9
2014-12-26,2088.8
2014-12-29,2090.6
2014-12-30,2080.3
2014-12-31,2058.9
2015-01-02,2058.2
2015-01-05,2020.6
2015-01-06,2002.6
2015-01-07,2025.9
2015-01-08,2062.1
2015-01-09,2044.8
2015-01-12,2028.3
2015-01-13,2023.0
2015-01-14,2011.3
2015-01-15,1992.7
2015-01-16,2019.4
2015-01-20,2022.5
2015-01-21,2032.1
2015-01-22,2063.2
2015-01-23,2051.8
2015-01-26,2057.1
2015-01-27,2029.5
2015-01-28,2002.2
2015-01-29,2021.2
2015-01-30,1995.0
2015-02-02,2020.8
2015-02-03,2050.0
2015-02-04,2041.5
2015-02-05,2062.5
2015-02-06,2055.5
2015-02-09,2046.7
2015-02-10,2068.6
2015-02-11,2068.5
2015-02-12,2088.5
2015-02-13,2097.0
2015-02-17,2100.3
2015-02-18,2099.7
2015-02-19,2097.4
2015-02-20,2110.3
2015-02-23,2109.7
2015-02-24,2115.5
2015-02-25,2113.9
2015-02-26,2110.7
2015-02-27,2104.5
2015-03-02,2117.4
2015-03-03,2107.8
2015-03-04,2098.5
2015-03-05,2101.0
2015-03-06,2071.3
2015-03-09,2079.4
2015-03-10,2044.2
2015-03-11,2040.2
2015-03-12,2065.9
2015-03-13,2053.4
2015-03-16,2081.2
2015-03-17,2074.3
2015-03-18,2099.5
2015-03-19,2089.3
2015-03-20,2108.1
2015-03-23,2104.4
2015-03-24,2091.5
2015-03-25,2061.1
2015-03-26,2056.2
2015-03-27,2061.0
2015-03-30,2086.2
2015-03-31,2067.9
2015-04-01,2059.7
2015-04-02,2067.0
2015-04-06,2080.6
2015-04-07,2076.3
2015-04-08,2081.9
2015-04-09,2091.2
2015-04-10,2102.1
2015-04-13,2092.4
2015-04-14,2095.8
2015-04-15,2106.6
2015-04-16,2105.0
2015-04-17,2081.2
2015-04-20,2100.4
2015-04-21,2097.3
2015-04-22,2108.0
2015-04-23,2112.9
2015-04-24,2117.7
2015-04-27,2108.9
2015-04-28,2114.8
2015-04-29,2106.8
2015-04-30,2085.5
2015-05-01,2108.3
2015-05-04,2114.5
2015-05-05,2089.5
2015-05-06,2080.2
2015-05-07,2088.0
2015-05-08,2116.1
2015-05-11,2105.3
2015-05-12,2099.1
2015-05-13,2098.5
2015-05-14,2121.1
2015-05-15,2122.7
2015-05-18,2129.2
2015-05-19,2127.8
2015-05-20,2125.8
2015-05-21,2130.8
2015-05-22,2126.1
2015-05-26,2104.2
2015-05-27,2123.5
2015-05-28,2120.8
2015-05-29,2107.4
2015-06-01,2111.7
2015-06-02,2109.6
2015-06-03,2114.1
2015-06-04,2095.8
2015-06-05,2092.8
2015-06-08,2079.3
2015-06-09,2080.2
2015-06-10,2105.2
2015-06-11,2108.9
2015-06-12,2094.1
2015-06-15,2084.4
2015-06-16,2096.3
2015-06-17,2100.4
2015-06-18,2121.2
2015-06-19,2110.0
2015-06-22,2122.8
2015-06-23,2124.2
2015-06-24,2108.6
2015-06-25,2102.3
2015-06-26,2101.5
2015-06-29,2057.6
