Date,Price
2014-09-18,261.72
2014-09-19,262.31
2014-09-22,260.15
2014-09-23,258.49
2014-09-24,258.88
2014-09-25,258.46
2014-09-26,258.33
2014-09-29,257.95
2014-09-30,256.77
2014-10-01,252.81
2014-10-02,250.06
2014-10-06,249.19
2014-10-07,249.93
2014-10-08,248.36
2014-10-10,245.06
2014-10-13,244.18
2014-10-14,244.47
2014-10-15,243.87
2014-10-16,242.79
2014-10-17,239.84
2014-10-20,243.9
2014-10-21,241.48
2014-10-22,244.12
2014-10-23,243.38
2014-10-24,242.91
2014-10-27,243.89
2014-10-28,243.3
2014-10-29,248.64
2014-10-30,248.84
2014-10-31,250.45
2014-11-03,248.69
2014-11-04,246.51
2014-11-05,245.86
2014-11-06,247.19
2014-11-07,247.39
2014-11-10,250.64
2014-11-11,250.45
2014-11-12,251.26
2014-11-13,250.11
2014-11-14,248.18
2014-11-17,248.3
2014-11-18,250.65
2014-11-19,250.33
2014-11-20,248.96
2014-11-21,249.9
2014-11-24,252.34
2014-11-25,251.72
2014-11-26,252.0
2014-11-27,253.3
2014-11-28,253.7
2014-12-01,251.59
2014-12-02,251.41
2014-12-03,251.65
2014-12-04,254.06
2014-12-05,254.24
2014-12-08,253.71
2014-12-09,253.21
2014-12-10,249.35
2014-12-11,245.54
2014-12-12,246.44
2014-12-15,246.27
2014-12-16,244.43
2014-12-17,243.72
2014-12-18,243.82
2014-12-19,247.96
2014-12-22,249.7
2014-12-23,249.06
2014-12-24,250.07
2014-12-26,250.05
2014-12-29,246.3
2014-12-30,244.05
2015-01-02,244.79
2015-01-05,244.26
2015-01-06,239.93
2015-01-07,240.53
2015-01-08,243.94
2015-01-09,246.05
2015-01-12,245.7
2015-01-13,246.29
2015-01-14,245.99
2015-01-15,245.76
2015-01-16,242.22
2015-01-19,244.78
2015-01-20,247.24
2015-01-21,248.59
2015-01-22,248.47
2015-01-23,250.32
2015-01-26,250.14
2015-01-27,252.2
2015-01-28,252.21
2015-01-29,250.46
2015-01-30,249.88
2015-02-02,250.61
2015-02-03,250.38
2015-02-04,251.6
2015-02-05,249.78
2015-02-06,250.16
2015-02-09,249.26
2015-02-10,247.66
2015-02-11,248.4
2015-02-12,247.71
2015-02-13,249.76
2015-02-16,249.81
2015-02-17,250.37
2015-02-23,250.8
2015-02-24,251.28
2015-02-25,252.96
2015-02-26,252.93
2015-02-27,251.46
2015-03-02,253.65
2015-03-03,254.5
2015-03-04,254.31
2015-03-05,254.16
2015-03-06,255.96
2015-03-09,252.77
2015-03-10,251.75
2015-03-11,252.16
2015-03-12,250.28
2015-03-13,252.18
2015-03-16,252.44
2015-03-17,258.18
2015-03-18,258.22
2015-03-19,258.99
2015-03-20,258.7
2015-03-23,258.95
2015-03-24,259.16
2015-03-25,258.94
2015-03-26,255.99
2015-03-27,255.54
2015-03-30,256.1
2015-03-31,257.28
2015-04-01,254.97
2015-04-02,254.99
2015-04-03,256.75
2015-04-06,256.93
2015-04-07,256.88
2015-04-08,258.51
2015-04-09,258.33
2015-04-10,261.95
2015-04-13,263.48
2015-04-14,265.57
2015-04-15,265.77
2015-04-16,268.45
2015-04-17,268.28
2015-04-20,268.55
2015-04-21,268.17
2015-04-22,268.64
2015-04-23,272.59
2015-04-24,271.05
2015-04-27,270.05
2015-04-28,268.55
2015-04-29,268.03
2015-04-30,266.42
2015-05-04,267.33
2015-05-06,264.03
2015-05-07,262.47
2015-05-08,260.81
2015-05-11,261.49
2015-05-12,261.42
2015-05-13,263.25
2015-05-14,263.69
2015-05-15,261.33
2015-05-18,261.97
2015-05-19,262.92
2015-05-20,265.36
2015-05-21,262.66
2015-05-22,266.03
2015-05-26,265.41
2015-05-27,260.16
2015-05-28,260.06
2015-05-29,260.39
2015-06-01,258.74
2015-06-02,256.29
2015-06-03,254.11
2015-06-04,255.47
2015-06-05,254.94
2015-06-08,254.21
2015-06-09,253.51
2015-06-10,252.11
2015-06-11,252.32
2015-06-12,251.66
2015-06-15,250.74
2015-06-16,248.49
2015-06-17,249.08
2015-06-18,249.67
2015-06-19,249.84
2015-06-22,250.99
2015-06-23,254.52
2015-06-24,254.94
2015-06-25,253.8
2015-06-26,254.48
2015-06-29,251.26
2015-06-30,252.27
2015-07-01,255.07
2015-07-02,255.5
2015-07-03,254.66
2015-07-06,248.3
2015-07-07,248.05
2015-07-08,244.94
2015-07-09,246.77
2015-07-10,246.83
2015-07-13,249.84
2015-07-14,248.64
2015-07-15,249.65
2015-07-16,251.47
2015-07-17,250.23
2015-07-20,248.91
2015-07-21,250.35
2015-07-22,247.88
2015-07-23,247.31
2015-07-24,244.91
2015-07-27,244.98
2015-07-28,245.21
2015-07-29,245.97
2015-07-30,243.61
2015-07-31,244.3
2015-08-03,241.48
2015-08-04,243.55
2015-08-05,243.12
2015-08-06,240.04
2015-08-07,239.79
2015-08-10,239.18
2015-08-11,237.91
2015-08-12,237.24
2015-08-13,237.32
2015-08-17,235.37
2015-08-18,235.2
2015-08-19,234.27
2015-08-20,231.59
2015-08-21,227.14
2015-08-24,221.53
2015-08-25,223.07
2015-08-26,227.71
2015-08-27,228.94
2015-08-28,232.35
2015-08-31,232.8
2015-09-01,229.55
2015-09-02,229.91
2015-09-03,230.4
2015-09-04,227.9
2015-09-07,227.31
